,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
0,20,5.0,80.0,11622,2,1,1,1.0,1,1,26,2,3,1,1,5,6,1961,1961,2,2,16.0,16.0,4.0,0.0,3,3,2,3.0,3.0,4.0,4.0,468.0,5.0,144.0,270.0,882.0,2,3,1,1,896,0,0,896,0.0,0.0,1,0,2,1,3.0,5,1.0,0,0.0,2.0,1961.0,3.0,1.0,730.0,3.0,3.0,2,140,0,0,0,120,0,0.0,2.0,6.0,0,6,2010,1.0,1
1,20,6.0,81.0,14267,2,2,1,1.0,2,1,26,3,3,1,1,6,6,1958,1958,4,2,17.0,17.0,2.0,108.0,3,3,2,3.0,3.0,4.0,2.0,923.0,6.0,0.0,406.0,1329.0,2,3,1,1,1329,0,0,1329,0.0,0.0,1,1,3,1,2.0,6,1.0,0,0.0,2.0,1958.0,3.0,1.0,312.0,3.0,3.0,2,393,36,0,0,0,0,0.0,0.0,2.0,12500,6,2010,1.0,1
2,60,6.0,74.0,13830,2,2,1,1.0,1,1,9,3,3,1,4,5,5,1997,1998,2,2,16.0,16.0,4.0,0.0,3,3,3,2.0,3.0,4.0,1.0,791.0,6.0,0.0,137.0,928.0,2,2,1,1,928,701,0,1629,0.0,0.0,2,1,3,1,3.0,6,1.0,1,3.0,2.0,1997.0,1.0,2.0,482.0,3.0,3.0,2,212,34,0,0,0,0,0.0,2.0,6.0,0,3,2010,1.0,1
3,60,6.0,78.0,9978,2,2,1,1.0,1,1,9,3,3,1,4,6,6,1998,1998,2,2,16.0,16.0,2.0,20.0,3,3,3,3.0,3.0,4.0,1.0,602.0,6.0,0.0,324.0,926.0,2,1,1,1,926,678,0,1604,0.0,0.0,2,1,3,1,2.0,7,1.0,1,2.0,2.0,1998.0,1.0,2.0,470.0,3.0,3.0,2,360,36,0,0,0,0,0.0,0.0,6.0,0,6,2010,1.0,1
4,120,6.0,43.0,5005,2,2,3,1.0,1,1,23,3,3,4,1,8,5,1992,1992,2,2,7.0,7.0,4.0,0.0,2,3,3,2.0,3.0,4.0,2.0,263.0,6.0,0.0,1017.0,1280.0,2,1,1,1,1280,0,0,1280,0.0,0.0,2,0,2,1,2.0,5,1.0,0,0.0,2.0,1992.0,2.0,2.0,506.0,3.0,3.0,2,0,82,0,0,144,0,0.0,0.0,6.0,0,1,2010,1.0,1
5,60,6.0,75.0,10000,2,2,1,1.0,2,1,9,3,3,1,4,6,5,1993,1994,2,2,7.0,7.0,4.0,0.0,3,3,3,2.0,3.0,4.0,6.0,0.0,6.0,0.0,763.0,763.0,2,2,1,1,763,892,0,1655,0.0,0.0,2,1,3,1,3.0,7,1.0,1,3.0,2.0,1993.0,1.0,2.0,440.0,3.0,3.0,2,157,84,0,0,0,0,0.0,0.0,6.0,0,4,2010,1.0,1
6,20,6.0,0.0,7980,2,2,1,1.0,1,1,9,3,3,1,1,6,7,1992,2007,2,2,7.0,7.0,4.0,0.0,3,2,3,2.0,3.0,4.0,2.0,935.0,6.0,0.0,233.0,1168.0,2,1,1,1,1187,0,0,1187,1.0,0.0,2,0,3,1,3.0,6,1.0,0,0.0,2.0,1992.0,1.0,2.0,420.0,3.0,3.0,2,483,21,0,0,0,0,0.0,1.0,4.0,500,3,2010,1.0,1
7,60,6.0,63.0,8402,2,2,1,1.0,1,1,9,3,3,1,4,6,5,1998,1998,2,2,16.0,16.0,4.0,0.0,3,3,3,2.0,3.0,4.0,6.0,0.0,6.0,0.0,789.0,789.0,2,2,1,1,789,676,0,1465,0.0,0.0,2,1,3,1,3.0,7,1.0,1,2.0,2.0,1998.0,1.0,2.0,393.0,3.0,3.0,2,0,75,0,0,0,0,0.0,0.0,6.0,0,5,2010,1.0,1
8,20,6.0,85.0,10176,2,1,1,1.0,1,1,9,3,3,1,1,7,5,1990,1990,2,2,7.0,7.0,4.0,0.0,3,3,3,2.0,3.0,1.0,1.0,637.0,6.0,0.0,663.0,1300.0,2,2,1,1,1341,0,0,1341,1.0,0.0,1,1,2,1,2.0,5,1.0,1,5.0,2.0,1990.0,3.0,2.0,506.0,3.0,3.0,2,192,0,0,0,0,0,0.0,0.0,6.0,0,2,2010,1.0,1
9,20,6.0,70.0,8400,2,1,1,1.0,2,1,26,3,3,1,1,4,5,1970,1970,2,2,11.0,11.0,4.0,0.0,3,3,2,3.0,3.0,4.0,2.0,804.0,4.0,78.0,0.0,882.0,2,3,1,1,882,0,0,882,1.0,0.0,1,0,2,1,3.0,4,1.0,0,0.0,2.0,1970.0,1.0,2.0,525.0,3.0,3.0,2,240,0,0,0,0,0,0.0,2.0,6.0,0,4,2010,1.0,1
